sample,task,cascade_score,direct_score,direct_minus_cascade,winner,cascade_valid_json,direct_valid_json,cascade_latency_seconds,direct_latency_seconds
altitude,summarization,0.28571428571428575,0.18749999999999997,-0.09821428571428578,cascade,,,15.946,8.161
altitude,sentiment,1.0,0.0,-1.0,cascade,1.0,1.0,17.665,5.358
altitude,keywords,0.0,0.0,0.0,tie,1.0,1.0,18.012,1.941
altitude,intent,1.0,0.0,-1.0,cascade,1.0,1.0,14.8,1.686
calm,summarization,0.5423728813559322,0.4615384615384615,-0.08083441981747069,cascade,,,14.75,2.424
calm,sentiment,1.0,1.0,0.0,tie,1.0,1.0,25.759,4.736
calm,keywords,0.8571428571428571,0.8571428571428571,0.0,tie,1.0,1.0,14.515,2.911
calm,intent,1.0,0.0,-1.0,cascade,1.0,1.0,15.416,1.661
depression,summarization,0.18604651162790697,0.3333333333333333,0.14728682170542634,direct,,,17.637,3.346
depression,sentiment,0.0,0.0,0.0,tie,1.0,1.0,17.492,4.741
depression,keywords,0.375,0.7142857142857143,0.3392857142857143,direct,1.0,1.0,17.739,3.802
depression,intent,0.0,1.0,1.0,direct,1.0,1.0,16.801,1.698
happiness,summarization,0.19444444444444448,0.15789473684210525,-0.03654970760233922,cascade,,,20.174,4.42
happiness,sentiment,1.0,1.0,0.0,tie,1.0,1.0,17.811,4.212
happiness,keywords,0.25,0.30769230769230765,0.057692307692307654,direct,1.0,1.0,17.659,3.753
happiness,intent,0.0,0.0,0.0,tie,1.0,1.0,16.16,1.569
healthy,summarization,0.15384615384615388,0.16393442622950818,0.010088272383354302,direct,,,18.016,3.276
healthy,sentiment,0.0,1.0,1.0,direct,1.0,1.0,18.239,3.999
healthy,keywords,0.37499999999999994,0.1818181818181818,-0.19318181818181815,cascade,1.0,1.0,17.199,1.724
healthy,intent,1.0,0.0,-1.0,cascade,1.0,1.0,17.216,1.099
menopause,summarization,0.23076923076923078,0.1276595744680851,-0.10310965630114569,cascade,,,15.654,2.292
menopause,sentiment,1.0,1.0,0.0,tie,1.0,1.0,15.918,4.104
menopause,keywords,0.5714285714285715,0.5454545454545454,-0.025974025974026094,cascade,1.0,1.0,16.97,1.875
menopause,intent,1.0,1.0,0.0,tie,1.0,1.0,15.257,0.951
speak,summarization,0.3137254901960784,0.23728813559322032,-0.07643735460285811,cascade,,,16.232,2.184
speak,sentiment,1.0,1.0,0.0,tie,1.0,1.0,16.113,4.211
speak,keywords,0.3636363636363636,0.0,-0.3636363636363636,cascade,1.0,1.0,17.135,4.231
speak,intent,1.0,0.0,-1.0,cascade,1.0,1.0,16.033,1.656
thanks,summarization,0.3389830508474576,0.24137931034482757,-0.09760374050263004,cascade,,,18.009,2.177
thanks,sentiment,1.0,0.0,-1.0,cascade,1.0,1.0,17.32,4.489
thanks,keywords,0.7499999999999999,0.7272727272727272,-0.022727272727272707,cascade,1.0,1.0,18.059,1.482
thanks,intent,0.0,0.0,0.0,tie,1.0,1.0,18.232,1.372
