sample,task,score,valid_json,qwen_latency_seconds,postprocess_latency_seconds
altitude,summarization,0.18749999999999997,,8.161,
altitude,sentiment,0.0,1.0,5.358,1.241
altitude,keywords,0.0,1.0,1.941,1.133
altitude,intent,0.0,1.0,1.686,1.178
calm,summarization,0.4615384615384615,,2.424,
calm,sentiment,1.0,1.0,4.736,1.341
calm,keywords,0.8571428571428571,1.0,2.911,1.028
calm,intent,0.0,1.0,1.661,0.731
depression,summarization,0.3333333333333333,,3.346,
depression,sentiment,0.0,1.0,4.741,0.815
depression,keywords,0.7142857142857143,1.0,3.802,0.874
depression,intent,1.0,1.0,1.698,0.703
happiness,summarization,0.15789473684210525,,4.42,
happiness,sentiment,1.0,1.0,4.212,0.696
happiness,keywords,0.30769230769230765,1.0,3.753,1.134
happiness,intent,0.0,1.0,1.569,0.942
healthy,summarization,0.16393442622950818,,3.276,
healthy,sentiment,1.0,1.0,3.999,0.845
healthy,keywords,0.1818181818181818,1.0,1.724,0.995
healthy,intent,0.0,1.0,1.099,1.031
menopause,summarization,0.1276595744680851,,2.292,
menopause,sentiment,1.0,1.0,4.104,0.962
menopause,keywords,0.5454545454545454,1.0,1.875,0.6
menopause,intent,1.0,1.0,0.951,0.812
speak,summarization,0.23728813559322032,,2.184,
speak,sentiment,1.0,1.0,4.211,0.963
speak,keywords,0.0,1.0,4.231,0.85
speak,intent,0.0,1.0,1.656,0.875
thanks,summarization,0.24137931034482757,,2.177,
thanks,sentiment,0.0,1.0,4.489,0.963
thanks,keywords,0.7272727272727272,1.0,1.482,0.922
thanks,intent,0.0,1.0,1.372,0.836
