pipeline,sample,condition,rouge_l,latency_seconds
cascade,science_brain,clean,0.4482758620689655,15.155537366867065
direct,science_brain,clean,0.6769230769230768,7.515
cascade,science_climate,clean,0.35135135135135126,16.264155864715576
direct,science_climate,clean,0.3943661971830986,3.522
cascade,science_crispr,clean,0.5333333333333333,16.25528621673584
direct,science_crispr,clean,0.5079365079365079,4.392
cascade,science_space,clean,0.43076923076923074,17.997012853622437
direct,science_space,clean,0.6027397260273972,3.441
cascade,tech_ai_healthcare,clean,0.29729729729729726,16.671368837356567
direct,tech_ai_healthcare,clean,0.43076923076923074,3.132
cascade,tech_blockchain,clean,0.33333333333333337,14.925666093826294
direct,tech_blockchain,clean,0.43478260869565216,1.899
cascade,tech_education,clean,0.3076923076923077,17.269439458847046
direct,tech_education,clean,0.23255813953488372,2.044
cascade,tech_quantum,clean,0.4745762711864407,17.542953491210938
direct,tech_quantum,clean,0.39999999999999997,2.651
cascade,science_brain,white_0db,0.4482758620689655,16.155167818069458
direct,science_brain,white_0db,0.6769230769230768,3.004
cascade,science_climate,white_0db,0.3582089552238806,15.46771240234375
direct,science_climate,white_0db,0.4324324324324324,3.278
cascade,science_crispr,white_0db,0.6206896551724139,15.229710102081299
direct,science_crispr,white_0db,0.5079365079365079,4.042
cascade,science_space,white_0db,0.3636363636363637,15.932264566421509
direct,science_space,white_0db,0.5753424657534246,3.08
cascade,tech_ai_healthcare,white_0db,0.3880597014925373,16.805927753448486
direct,tech_ai_healthcare,white_0db,0.43076923076923074,3.379
cascade,tech_blockchain,white_0db,0.33333333333333337,14.937525272369385
direct,tech_blockchain,white_0db,0.425531914893617,1.984
cascade,tech_education,white_0db,0.29411764705882354,16.009172439575195
direct,tech_education,white_0db,0.18604651162790697,1.943
cascade,tech_quantum,white_0db,0.41935483870967744,18.009641885757446
direct,tech_quantum,white_0db,0.3934426229508197,2.825
cascade,science_brain,white_10db,0.4482758620689655,16.061408042907715
direct,science_brain,white_10db,0.6769230769230768,2.977
cascade,science_climate,white_10db,0.35135135135135126,18.329149961471558
direct,science_climate,white_10db,0.3943661971830986,3.489
cascade,science_crispr,white_10db,0.5818181818181819,24.23828935623169
direct,science_crispr,white_10db,0.5161290322580646,4.333
cascade,science_space,white_10db,0.43076923076923074,17.812232732772827
direct,science_space,white_10db,0.5063291139240508,3.095
cascade,tech_ai_healthcare,white_10db,0.3243243243243244,19.13730764389038
direct,tech_ai_healthcare,white_10db,0.3880597014925373,2.971
cascade,tech_blockchain,white_10db,0.33333333333333337,14.734159469604492
direct,tech_blockchain,white_10db,0.43478260869565216,1.905
cascade,tech_education,white_10db,0.3076923076923077,19.61460566520691
direct,tech_education,white_10db,0.23255813953488372,2.115
cascade,tech_quantum,white_10db,0.36111111111111116,16.007362127304077
direct,tech_quantum,white_10db,0.3548387096774194,2.731
cascade,science_brain,white_20db,0.4482758620689655,17.95091462135315
direct,science_brain,white_20db,0.6666666666666667,3.04
cascade,science_climate,white_20db,0.3243243243243243,15.436415195465088
direct,science_climate,white_20db,0.4324324324324324,3.231
cascade,science_crispr,white_20db,0.6101694915254237,23.75368094444275
direct,science_crispr,white_20db,0.5161290322580646,3.941
cascade,science_space,white_20db,0.43076923076923074,15.270069360733032
direct,science_space,white_20db,0.5063291139240508,3.723
cascade,tech_ai_healthcare,white_20db,0.29729729729729726,15.682807445526123
direct,tech_ai_healthcare,white_20db,0.3939393939393939,3.691
cascade,tech_blockchain,white_20db,0.33333333333333337,14.589951753616333
direct,tech_blockchain,white_20db,0.43478260869565216,2.011
cascade,tech_education,white_20db,0.3076923076923077,16.19253969192505
direct,tech_education,white_20db,0.23255813953488372,2.085
cascade,tech_quantum,white_20db,0.40579710144927533,15.336917638778687
direct,tech_quantum,white_20db,0.3548387096774194,2.932
